"Instrument_Id","Product_Type","Processing_Level","Product_Subtype","Product_Subtype_Desc","Attr","Data_Type","Unit"
"WE","CAL","Calibrated","ATS","Air Temperature","SCLK","ASCII_Real","s"
"WE","CAL","Calibrated","ATS","Air Temperature","LMST","ASCII_String","HH:mm:ss"
"WE","CAL","Calibrated","ATS","Air Temperature","LTST","ASCII_String","HH:mm:ss"
"WE","CAL","Calibrated","ATS","Air Temperature","ATS_LOCAL_TEMP1","ASCII_Real","K"
"WE","CAL","Calibrated","ATS","Air Temperature","ATS_LOCAL_TEMP2","ASCII_Real","K"
"WE","CAL","Calibrated","ATS","Air Temperature","ATS_LOCAL_TEMP3","ASCII_Real","K"
"WE","CAL","Calibrated","ATS","Air Temperature","ATS_LOCAL_TEMP4","ASCII_Real","K"
"WE","CAL","Calibrated","ATS","Air Temperature","ATS_LOCAL_TEMP5","ASCII_Real","K"
"WE","CAL","Calibrated","ENG","Engineering","SCLK","ASCII_Real","s"
"WE","CAL","Calibrated","ENG","Engineering","LMST","ASCII_String","HH:mm:ss"
"WE","CAL","Calibrated","ENG","Engineering","LTST","ASCII_String","HH:mm:ss"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_TH_HK_TM","ASCII_Integer","K"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_H_PRT_TEMP_1","ASCII_Integer","K"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_TIRS_ACQ_TEMP_TM","ASCII_Integer","K"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_5V_CURRENT_TM","ASCII_Integer","A"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_8V_CURRENT_TM","ASCII_Integer","A"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_11VN_CURRENT_TM","ASCII_Integer","A"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_3V3_HK_MUX","ASCII_Integer","V"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_POWER_H_SENSE","ASCII_Integer",""
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_POWER_P1","ASCII_Integer","V"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_R1_CAL_PRT","ASCII_Integer","Ohms"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_POWER_P2","ASCII_Integer","V"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_R2_CAL_PRT","ASCII_Integer","Ohms"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_8V_FRANGI_TM","ASCII_Integer","V"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_MEDA_RDS_TEMP","ASCII_Integer","K"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_B1_SEC_PWR_TLM","ASCII_Integer","V"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_CAM_PCB_PRT","ASCII_Integer","K"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_B2_SEC_PWR_TLM","ASCII_Integer","V"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_CAM_CCD_PRT","ASCII_Integer","K"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_8V_H_PRT_TM","ASCII_Integer","V"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_H_PRT_TEMP_2","ASCII_Integer","K"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_12V_HTR_CURRENT_TM","ASCII_Integer","A"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_WS1_PRT","ASCII_Integer","K"
"WE","CAL","Calibrated","ENG","Engineering","ICU_Analog_WS2_PRT","ASCII_Integer","K"
"WE","CAL","Calibrated","PS","Pressure","SCLK","ASCII_Real","s"
"WE","CAL","Calibrated","PS","Pressure","LMST","ASCII_String","HH:mm:ss"
"WE","CAL","Calibrated","PS","Pressure","LTST","ASCII_String","HH:mm:ss"
"WE","CAL","Calibrated","PS","Pressure","BAROCAP1_PRESSURE","ASCII_Real","mbar"
"WE","CAL","Calibrated","PS","Pressure","BAROCAP1_PRESSURE_UNCERTAINTY","ASCII_Real","mbar"
"WE","CAL","Calibrated","PS","Pressure","BAROCAP2_PRESSURE","ASCII_Real","mbar"
"WE","CAL","Calibrated","PS","Pressure","BAROCAP2_PRESSURE_UNCERTAINTY","ASCII_Real","mbar"
"WE","CAL","Calibrated","PS","Pressure","BAROCAP3_PRESSURE","ASCII_Real","mbar"
"WE","CAL","Calibrated","PS","Pressure","BAROCAP3_PRESSURE_UNCERTAINTY","ASCII_Real","mbar"
"WE","CAL","Calibrated","PS","Pressure","THERMOCAP1_TEMP","ASCII_Real","K"
"WE","CAL","Calibrated","PS","Pressure","THERMOCAP1_TEMP_UNCERTAINTY","ASCII_Real","K"
"WE","CAL","Calibrated","PS","Pressure","THERMOCAP2_TEMP","ASCII_Real","K"
"WE","CAL","Calibrated","PS","Pressure","THERMOCAP2_TEMP_UNCERTAINTY","ASCII_Real","K"
"WE","CAL","Calibrated","PS","Pressure","PRESSURE_MEASUREMENT_MODE","ASCII_String","Mode"
"WE","CAL","Calibrated","PS","Pressure","TRANSDUCER","ASCII_Integer",""
"WE","CAL","Calibrated","RDS","Radiation and Dust","SCLK","ASCII_Real","s"
"WE","CAL","Calibrated","RDS","Radiation and Dust","LMST","ASCII_String","HH:mm:ss"
"WE","CAL","Calibrated","RDS","Radiation and Dust","LTST","ASCII_String","HH:mm:ss"
"WE","CAL","Calibrated","RDS","Radiation and Dust","RDS_LAT_1","ASCII_Real","A"
"WE","CAL","Calibrated","RDS","Radiation and Dust","RDS_LAT_2","ASCII_Real","W/m2"
"WE","CAL","Calibrated","RDS","Radiation and Dust","RDS_LAT_3","ASCII_Real","W/m2"
"WE","CAL","Calibrated","RDS","Radiation and Dust","RDS_LAT_4","ASCII_Real","W/m2"
"WE","CAL","Calibrated","RDS","Radiation and Dust","RDS_LAT_5","ASCII_Real","W/m2"
"WE","CAL","Calibrated","RDS","Radiation and Dust","RDS_LAT_6","ASCII_Real","W/m2"
